,name,session,sex,time,sampling,latency,cue,presented,choice,response,iti,velocity,time2peak,rt
28,EE11,PBS,0,1462.152,0.0180000000000291,0.4239999999999781,4,0.0,0.0,1,20.519999999999985,95.65617292673105,0.08,0.4420000000000072
29,EE11,PBS,0,1485.074,0.1379999999999199,0.2200000000000272,4,1.0,1.0,1,22.922000000000025,115.51813310983228,0.16,0.35799999999994714
30,EE11,PBS,0,1491.944,0.0799999999999272,0.1720000000000254,1,1.0,0.0,0,6.869999999999891,103.36495818093562,0.12,0.2519999999999526
31,EE11,PBS,0,1496.648,0.0860000000000127,0.22199999999998,1,1.0,1.0,1,4.703999999999951,108.17045072938748,0.2,0.3079999999999927
32,EE11,PBS,0,1516.21,0.1479999999999108,0.6720000000000255,1,0.0,1.0,0,19.56200000000013,19.845443451887505,0.12,0.8199999999999362
33,EE11,PBS,0,1566.526,0.1140000000000327,1.1739999999999782,1,0.0,1.0,0,50.31600000000003,14.916419875900546,0.12,1.288000000000011
34,EE11,PBS,0,1666.462,0.0740000000000691,0.5019999999999527,1,0.0,1.0,0,40.430000000000064,25.802844407581063,0.08,0.5760000000000218
35,EE11,PBS,0,1674.224,0.0360000000000582,0.2940000000000964,16,1.0,1.0,1,7.761999999999944,96.56004853879011,0.12,0.3300000000001546
36,EE11,PBS,0,1694.012,0.0679999999999836,0.2300000000000182,16,0.0,0.0,1,19.78800000000001,108.42271972660868,0.16,0.2980000000000018
37,EE11,PBS,0,1700.514,0.068000000000211,0.2419999999999618,4,0.0,0.0,1,6.501999999999953,122.42137337125466,0.2,0.3100000000001728
38,EE11,PBS,0,1721.94,0.0960000000000036,0.7919999999999163,1,1.0,1.0,1,21.42600000000016,71.86580474347171,0.12,0.88799999999992
39,EE11,PBS,0,1729.068,0.1079999999999472,0.1600000000000818,4,0.0,0.0,1,7.127999999999929,109.13833115894975,0.12,0.268000000000029
40,EE11,PBS,0,1742.396,0.1059999999999945,0.1580000000001291,16,0.0,0.0,1,13.327999999999976,110.08682071035985,0.16,0.2640000000001236
